,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,https://tripadvisor.com
61,Restaurant Elite,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options'",62,4,$$ - $$$,164,"'Eat real Finnish food!', 'Good traditional Finnish eatery', '11/09/2017', '10/29/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d779831-Reviews-Restaurant_Elite-Helsinki_Uusimaa.html
62,Restaurant Fig,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly'",63,4.5,$$ - $$$,39,"'Excellent experience!', 'Dinner', '01/05/2018', '12/09/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d11950195-Reviews-Restaurant_Fig-Helsinki_Uusimaa.html
63,Kuurna,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",64,4.5,$$ - $$$,221,"'in the old town, excellent', 'Delicious and unpretentious', '11/17/2017', '09/24/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d778318-Reviews-Kuurna-Helsinki_Uusimaa.html
64,Oluthuone Kaisla,Helsinki,"'Bar', 'Pub', 'Brew Pub'",65,4.5,$$ - $$$,238,"'Always secure choice for quality beer and...', 'A superb bar', '01/02/2018', '11/05/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d810722-Reviews-Oluthuone_Kaisla-Helsinki_Uusimaa.html
65,Shelter,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",66,4.5,$$ - $$$,75,"'Good food and good value in Helsinki', 'Todella hyvä', '01/07/2018', '12/24/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d10766188-Reviews-Shelter-Helsinki_Uusimaa.html
66,Cafe Ursula,Helsinki,"'Cafe', 'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options'",67,4,$$ - $$$,254,"'Great location overlooking the sea...and g...', 'Charming place on the shore', '01/11/2017', '12/11/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d969251-Reviews-Cafe_Ursula-Helsinki_Uusimaa.html
67,Sori Taproom,Helsinki,"'American', 'Bar', 'European', 'Pub', 'Vegetarian Friendly', 'Vegan Options'",68,4.5,$$ - $$$,58,"'Veggie burgers', 'Best beers in Hel', '01/01/2018', '12/31/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d12147699-Reviews-Sori_Taproom-Helsinki_Uusimaa.html
68,Roster,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",69,4,$$ - $$$,190,"'Good experience', ""New Year's Dinner"", '01/04/2018', '01/03/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d10512258-Reviews-Roster-Helsinki_Uusimaa.html
69,Restaurant Chef & Sommelier,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",70,4.5,$$$$,229,"'Exceptional', 'Excellent dinner!', '09/09/2017', '09/03/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d2332325-Reviews-Restaurant_Chef_Sommelier-Helsinki_Uusimaa.html
70,Zucchini,Helsinki,"'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",71,4.5,$$ - $$$,122,"'Top vegetarian choice', 'Charming self-service place!!', '01/05/2018', '11/29/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d850533-Reviews-Zucchini-Helsinki_Uusimaa.html
